2	55.153	68.728
5	29.313	45.642
10	18.997	33.804
50	8.437	16.683
149	7.569	14.012
2	57.711	71.286
5	28.566	44.966
10	19.492	33.898
50	9.121	16.939
149	7.099	13.197
2	57.001	68.799
5	28.780	45.144
10	19.562	33.569
50	8.907	17.163
149	7.321	13.959
2	57.996	70.362
5	28.815	45.037
10	19.209	33.757
50	8.512	16.223
149	6.993	13.800
2	57.925	71.073
5	28.637	45.109
10	19.374	33.945
50	8.640	16.971
149	7.206	14.083
2	57.569	70.647
5	28.211	44.219
10	18.668	32.509
50	8.950	16.886
149	7.214	13.826
2	58.991	72.353
5	27.215	43.650
10	19.115	34.298
50	8.918	17.035
149	6.957	14.136
2	56.716	71.997
5	29.136	44.931
10	20.198	32.274
50	8.704	16.426
149	7.214	14.110
2	59.701	71.286
5	29.527	43.543
10	20.104	33.569
50	8.416	16.565
149	7.294	13.640
2	59.559	71.571
5	29.100	44.326
10	18.856	34.204
50	8.651	16.341
149	7.206	13.693
