2	60.128	64.534
5	27.997	36.286
10	19.986	24.788
50	8.491	10.755
149	7.152	8.446
2	58.920	63.611
5	29.740	36.357
10	19.044	23.588
50	8.950	11.214
149	7.259	8.943
2	58.138	65.032
5	29.171	36.322
10	19.421	25.094
50	8.534	10.894
149	7.578	9.164
2	56.716	64.321
5	28.780	37.104
10	20.033	24.459
50	9.377	11.097
149	7.330	9.297
2	58.706	64.606
5	28.673	37.033
10	19.162	24.741
50	8.534	10.819
149	7.152	8.703
2	57.996	61.834
5	29.278	37.318
10	19.444	24.929
50	8.801	10.744
149	7.622	8.792
2	59.559	65.672
5	27.108	35.575
10	19.421	24.529
50	8.598	10.574
149	7.081	8.854
2	56.503	62.829
5	27.784	35.646
10	18.503	23.870
50	8.939	10.937
149	7.188	8.624
2	59.773	65.316
5	28.958	35.112
10	18.621	23.941
50	8.523	10.734
149	7.347	8.783
2	57.143	62.758
5	29.527	36.073
10	19.350	24.976
50	8.875	11.182
149	6.904	8.819
